strategy_id,strategy_name,category,description,trigger_conditions,savings_heuristic,authority_reference,risk_rating,economic_substance_notes,added_by,date_added,review_status
ST-001,"S-Corp reasonable compensation optimization","Entity & Compensation","Set owner W-2 comp at a defensible benchmark to balance payroll tax savings against QBI wage limits and retirement plan contribution room","entity_type = S-Corp; owner W-2 comp deviates >15% from role/revenue benchmark; OR comp-to-distribution ratio out of line with industry norms","(benchmark comp − current comp) × 15.3% FICA (up to wage base; 2.9%–3.8% Medicare above); offset against QBI wage-limit and retirement-contribution effects — model both directions","IRC §3121(d)(1); Rev. Rul. 74-44; Watson v. Comm'r (8th Cir. 2012)","Moderate","Written comp study using salary benchmarks (RCReports or similar); board minutes documenting comp decision; consistent payroll filings","Seed library","2026-07-09","Draft — pending Firm review"
ST-002,"Pass-through entity (PTE) tax election","Entity & Compensation","Elect entity-level state tax so state taxes become a federal deduction, bypassing the individual SALT cap","pass-through entity in a PTE-election state (e.g., CA); profitable; owners' SALT deduction capped or phased down at their income level","state PTE tax paid × owner federal marginal rate (e.g., CA 9.3% PTE × 37% ≈ 3.4% of qualified income); verify benefit vs current-law SALT cap at owner's income","IRC §164; IRS Notice 2020-75; CA AB 150 / RTC §19900","Conservative","Timely election on entity return; meet state prepayment deadlines (CA: June 15 prepay for continuing elections); consent of owners","Seed library","2026-07-09","Draft — pending Firm review"
ST-003,"C-Corp / S-Corp restructuring","Entity & Compensation","Change entity classification when profit level, reinvestment profile, or exit plans favor a different structure","profit crossing entity break-even thresholds; QBI deduction phased out; heavy reinvestment (favors C) or high distributions (favors S); QSBS exit potential","full comparative model: 21% flat C rate + dividend layer vs individual rates + QBI; include state entity taxes and exit taxation","IRC §11; §§1361–1379; §199A; §1374 (built-in gains); §1362(g) (5-yr re-election wait)","Moderate","Board resolutions; Form 2553 or revocation filings; BIG-tax exposure analysis before S→C→S moves; 5-year commitment mindset","Seed library","2026-07-09","Draft — pending Firm review"
ST-004,"Multi-entity structure / management company","Entity & Compensation","Separate functions (management, IP, real estate) into related entities for payroll-tax, liability, and state arbitrage benefits","multiple active businesses; owner performing distinct management functions; real estate used by operating business; state nexus differences","varies — model payroll-tax delta, QBI aggregation effects, and state rate arbitrage on arm's-length management fees","IRC §482 (related-party pricing); §162 (ordinary & necessary); management-fee case law","Moderate","Written management agreements; arm's-length fee studies; actual services actually performed and documented; separate books/bank accounts","Seed library","2026-07-09","Draft — pending Firm review"
ST-005,"C-Corp fiscal year election","Entity & Compensation","Use a non-calendar fiscal year to defer income between the corporation and calendar-year owners","new or converting C-Corp; seasonal income concentration; owner bonus timing flexibility desired","one-time deferral ≈ deferred income × marginal rate × months deferred ÷ 12 (time-value benefit, recurring at margin)","IRC §441; §444","Conservative","Adopt on first return or via Form 1128; consistent application; bonus accruals must satisfy §267 related-party timing","Seed library","2026-07-09","Draft — pending Firm review"
ST-006,"QSBS qualification (IRC §1202)","Entity & Compensation","Structure C-Corp stock to qualify for exclusion of gain on sale after the holding period","C-Corp (or conversion candidate); qualified trade (not services/finance/hospitality); aggregate gross assets under the §1202 cap at issuance; exit horizon ≥ 3–5 yrs","excluded gain × ~23.8% (LTCG+NIIT); current-law caps and tiered holding periods apply to post-7/4/2025 issuances (OBBBA enhancements) — verify vintage rules","IRC §1202 (as amended by OBBBA 2025)","Conservative","Issuance-date asset test documentation; original-issuance requirement; qualified-business activity records; track holding period per share lot","Seed library","2026-07-09","Draft — pending Firm review"
ST-007,"Section 1244 small business stock","Entity & Compensation","Qualify corporate stock so a future loss is ordinary (up to $50k / $100k MFJ per year) instead of capital","corporation capitalized ≤ $1M at issuance; stock issued for money/property to individuals; loss risk exists","up to $100k MFJ × (ordinary marginal rate − capital loss value, often limited to $3k/yr) in a loss year","IRC §1244","Conservative","Plan documentation at issuance; capitalization records; stock issued directly (not purchased from another holder)","Seed library","2026-07-09","Draft — pending Firm review"
ST-008,"Solo 401(k) / SEP optimization","Retirement","Max owner-only retirement contributions; choose the vehicle that allows the largest deferral at the client's income","self-employed or owner-only entity; profit supports contributions; current deferrals below current-year limits","additional contribution × marginal rate (federal + state); Solo 401(k) usually beats SEP below ~$330k comp due to the employee deferral layer","IRC §401(k); §408(k); §415(c); §404","Conservative","Plan adopted by applicable deadline; W-2 comp supports contribution (S-Corp); Form 5500-EZ when assets > $250k","Seed library","2026-07-09","Draft — pending Firm review"
ST-009,"Defined benefit / cash balance plan","Retirement","Add an actuarially-driven plan enabling six-figure deductible contributions for older high-income owners","owner age ≥ ~45; stable income ≥ ~$400k; few or no non-owner employees (or willing to fund required staff contributions); 3+ year commitment horizon","contribution ($100k–$300k+ actuarially determined) × marginal rate, net of required staff cost","IRC §412; §415(b); §404(o)","Moderate","Actuary engagement; formal plan document; minimum-funding obligations are real commitments; combine with 401(k) per deduction-limit rules","Seed library","2026-07-09","Draft — pending Firm review"
ST-010,"Mega backdoor Roth","Retirement","After-tax 401(k) contributions converted in-plan to Roth, far above normal Roth limits","401(k) plan permits after-tax contributions AND in-service conversions/rollovers; owner has savings capacity beyond elective deferral limits","(415(c) limit − deferrals − match) converted annually; benefit = NPV of tax-free growth on the converted layer","IRC §402(c); §415(c); IRS Notice 2014-54","Conservative","Plan document must permit both features (solo plans: amend); convert promptly to minimize taxable earnings; track basis on Form 8606 where applicable","Seed library","2026-07-09","Draft — pending Firm review"
ST-011,"Backdoor Roth IRA","Retirement","Nondeductible traditional IRA contribution followed by Roth conversion for taxpayers above Roth income limits","MAGI above Roth contribution limits; little or no pre-tax IRA balances (pro-rata rule); annual habit candidate","annual limit per spouse × NPV of tax-free growth; near-zero current-year cost if no pre-tax IRA balances","IRC §408A(d)(3); §408(d)(2) (pro-rata)","Conservative","File Form 8606 each year; check aggregate IRA balances every year before converting; consider rolling pre-tax IRAs into employer plan first","Seed library","2026-07-09","Draft — pending Firm review"
ST-012,"Roth conversion timing","Retirement","Convert pre-tax balances to Roth in unusually low-income years to lock in low brackets","projected low-bracket year (business loss, NOL, gap year, retirement pre-RMD); funds available to pay conversion tax outside the IRA","converted amount × (expected future marginal rate − current conversion rate); ladder across years to fill target brackets","IRC §408A(d)(3)","Conservative","Model bracket fill precisely before year-end; conversions are irrevocable (no recharacterization); watch IRMAA and credit phase-outs","Seed library","2026-07-09","Draft — pending Firm review"
